epName,id,familyId,time,timeStamp,severity,reboot,type,raw
WInd-10,{ADBA4600-9232-40C7-A91A-476338939D0E},{9B6A41C5-652F-44E2-9F97-35621E4B6AEF},1621883256,2021-05-24T19:07:36Z,2,,malware_protection,"{""app"":""SAV"",""counterName"":""malware_protection"",""customMessageType"":""malware"",""familyId"":""{9B6A41C5-652F-44E2-9F97-35621E4B6AEF}"",""id"":""{ADBA4600-9232-40C7-A91A-476338939D0E}"",""location"":""C:\\Users\\jainidh\\Downloads\\eicar (1).com"",""paths"":[""\\\\?\\C:\\Users\\jainidh\\Downloads\\eicar (1).com""],""resourceId"":""events.sav.threat.created"",""sequence"":""50011"",""severity"":2,""showNotification"":true,""threatName"":""EICAR-AV-Test"",""threatType"":0,""timeStamp"":""2021-05-24T19:07:36Z"",""total"":2,""updateSummary"":true}"
WInd-10,bc2c7a35-a5cf-4b97-9602-aed50243b4c7,bd813bfa-8443-4eae-a335-0d0d1e3bc7b3,1621883060,2021-05-24T19:04:20.860000Z,1,0,,"{""app"":""SAU"",""counterName"":"""",""familyId"":""bd813bfa-8443-4eae-a335-0d0d1e3bc7b3"",""id"":""bc2c7a35-a5cf-4b97-9602-aed50243b4c7"",""reboot"":0,""resourceId"":""health.system.restarted"",""sequence"":""1"",""severity"":1,""showNotification"":false,""timeStamp"":""2021-05-24T19:04:20.860000Z"",""total"":2,""updateSummary"":true}"
WInd-10,{01DCBEEB-FBFA-444E-867A-02CEE908E812},{41B1CD92-2E1F-4176-9BDE-FAAF53434106},1621878943,2021-05-24T17:55:43Z,1,,malware_protection,"{""app"":""SAV"",""counterName"":""malware_protection"",""customMessageType"":""malware"",""familyId"":""{41B1CD92-2E1F-4176-9BDE-FAAF53434106}"",""id"":""{01DCBEEB-FBFA-444E-867A-02CEE908E812}"",""location"":"""",""paths"":[""\\\\?\\C:\\Users\\jainidh\\Downloads\\eicar.com""],""resourceId"":""events.sav.threat.cleared"",""sequence"":""50009"",""severity"":1,""showNotification"":true,""threatName"":""EICAR-AV-Test"",""threatType"":0,""timeStamp"":""2021-05-24T17:55:43Z"",""total"":2,""updateSummary"":true}"
WInd-10,{90227D46-2B2C-4568-A7F6-399CADB91CDC},{67089CDE-28F8-49F6-9D61-915AC5D2D119},1621877670,2021-05-24T17:34:30Z,1,0,web_security,"{""app"":""SAV"",""counterName"":""web_security"",""familyId"":""{67089CDE-28F8-49F6-9D61-915AC5D2D119}"",""id"":""{90227D46-2B2C-4568-A7F6-399CADB91CDC}"",""path"":""https://secure.eicar.org/eicar.com"",""reboot"":0,""resourceId"":""events.sav.threat.webscan.blocked"",""sequence"":""50006"",""severity"":1,""showNotification"":true,""threatName"":""EICAR-AV-Test"",""timeStamp"":""2021-05-24T17:34:30Z"",""total"":1,""updateSummary"":true,""userName"":""WInd-10\\jainidh"",""userSid"":""S-1-5-21-2725086272-2066500040-682079676-500""}"
